Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Solder Mask","For Pcb Making",1,1.65,"https://epro.pk/product/10cc-uv-solder-mask-ink-flux-welding-mechanic-in-pakistan/","EPro"
"Ferric Choloride","For PCB making",2,1.00,"https://epro.pk/product/ferric-chloride-powder-for-pcb-etchant-fecl-in-pakistan/","EPro"
"Rivets","For vias in PCB",1,9.00,"","Aliexpress"
"Transparency sheets","For PCB making",1,8.00,"https://stationers.pk/products/transparency-sheets?_pos=1&_sid=1455f1e48&_ss=r","Stationers"
"Copper Clad Board","For PCB making",1,7.00,"https://epro.pk/product/double-sided-pcb-12x12-in-pakistan/","EPro"
"Reflow gun","For Soldering",1,15.00,"https://digilog.pk/products/kada-835d-hot-air-gun-smd-rework-station-thermo-control-anti-static-portable-smd-rework-station","DigiLog"
"Resistors","0805 SMD Resistor",3,4.86,"https://www.aliexpress.com/item/1005004145810949.html?spm=a2g0o.cart.0.0.1a3438dapWXx8H&mp=1&pdp_npi=6%40dis%21USD%21USD+1.62%21USD+1.61%21%21USD+1.61%21%21%21%402141122217765785921945522e1a32%2112000028184503888%21ct%21PK%212961473668%21%211%210%21","Ali Express"
"Buzzer","9x9 Buzzer",3,4.36,"https://www.aliexpress.com/item/4000043951008.html?spm=a2g0o.cart.0.0.1a3438daAFLFTm&mp=1&pdp_npi=6%40dis%21USD%21USD+2.18%21USD+2.18%21%21USD+2.18%21%21%21%402140c1e917765782907343521ed3bd%2110000000099604494%21ct%21PK%212961473668%21%211%210%21&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D","Ali Express"
"Button","6x6 push button",3,1.59,"https://www.aliexpress.com/item/1005001304127863.html?spm=a2g0o.cart.0.0.1a3438daAFLFTm&mp=1&pdp_npi=6%40dis%21USD%21USD+1.70%21USD+1.68%21%21USD+1.68%21%21%21%402140c1e917765782907343521ed3bd%2112000015639874024%21ct%21PK%212961473668%21%211%210%21","Ali Express"
"Blue LED","0805 LED",1,2.21,"https://www.aliexpress.com/item/1005009128722843.html?spm=a2g0o.cart.0.0.1a3438daAFLFTm&mp=1&pdp_npi=6%40dis%21USD%21USD+2.21%21USD+2.21%21%21USD+2.21%21%21%21%402140c1e917765782907343521ed3bd%2112000048016234041%21ct%21PK%212961473668%21%211%210%21","Ali Express"
"Green LED","0805 LED",1,2.27,"https://www.aliexpress.com/item/1005009128722843.html?spm=a2g0o.cart.0.0.1a3438daAFLFTm&mp=1&pdp_npi=6%40dis%21USD%21USD+2.27%21USD+2.27%21%21USD+2.27%21%21%21%402140c1e917765782907343521ed3bd%2112000048016234042%21ct%21PK%212961473668%21%211%210%21","Ali Express"
"Red LED","0805 LED",1,2.26,"https://www.aliexpress.com/item/1005009128722843.html?spm=a2g0o.cart.0.0.1a3438daAFLFTm&mp=1&pdp_npi=6%40dis%21USD%21USD+2.26%21USD+2.26%21%21USD+2.26%21%21%21%402140c1e917765782907343521ed3bd%2112000048016234040%21ct%21PK%212961473668%21%211%210%21","Ali Express"
"1N4007 Diode","Diode",3,2.32,"https://www.aliexpress.com/item/32751841595.html?spm=a2g0o.cart.0.0.1a3438daAFLFTm&mp=1&pdp_npi=6%40dis%21USD%21USD+2.32%21USD+2.32%21%21USD+2.20%21%21%21%402140c1e917765782907343521ed3bd%2112000016561662489%21ct%21PK%212961473668%21%211%210%21","AliExpress"
"BC 847","Transistor",2,2.37,"https://www.aliexpress.com/item/1005008829335370.html?spm=a2g0o.cart.0.0.1a3438daAFLFTm&mp=1&pdp_npi=6%40dis%21USD%21USD+2.44%21USD+2.37%21%21USD+2.37%21%21%21%402140c1e917765782498232725ed3bd%2112000046856587364%21ct%21PK%212961473668%21%211%210%21","Ali Express"
"74HC373 IC","Main IC for the buzzer game",1,4.11,"https://www.aliexpress.com/item/33052702425.html?spm=a2g0o.cart.0.0.1a3438daAFLFTm&mp=1&pdp_npi=6%40dis%21USD%21USD+4.11%21USD+4.11%21%21USD+4.03%21%21%21%402140c1e917765782778963273ed3bd%2167402727853%21ct%21PK%212961473668%21%211%210%21&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D","Ali Express"